brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
Apple,MacBook Pro,16.20,Space Gray,512.00,ARM 7100,32.00,macOS 12 Monterey,,Integrated,M1 Pro,,4.70,1899.00
acer,Aspire 5,15.60,Silver,256.00,AMD Ryzen 5 5500U,8.00,Windows 11,Backlit Keyboard,Integrated,,,4.40,488.94
Apple,"2022 Apple MacBook Air M2, 16  RAM, 512  Storage - Midnight (Z160000B1)",13.60,,512.00,Apple M1,16.00,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,,4.80,1459.94
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
SAMSUNG,NP754XFG-KB1US,15.60,Silver,16.00,Core i7,16.00,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,4.80,1099.99
Microsoft,Surface Laptop Studio 2,14.40,Platinum,2 TB,Core i7-13700K,64.00,Windows 11 Home,Portable,NVIDIA® GeForce RTX™ 4060,,,,3699.99
ASUS,Zenbook 15,15.60,Basalt Grey,1000.00,Ryzen 7,32.00,Windows 11 Home,Dolby,Integrated,,,4.30,1299.00
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
SAMSUNG,Galaxy Book3 Pro,14.00,Graphite,,,,,,,,,4.40,1199.00
Apple,MacBook Pro,13.00,,256.00,Apple M1,16.00,macOS 12 Monterey,,Integrated,,3.40,4.70,1457.99
HP,HP 15 scarlet red,15.60,Silver,1000.00,Celeron,16.00,Windows 11 Home,,Integrated,Intel UHD Graphics,,4.30,469.00
Carlisle FoodService Products,ASUS VivoBook L203,11.60,Black,64.00,Celeron N4000,4.00,Windows 10 S,,Integrated,Intel UHD Graphics 600,,4.20,134.90
Gigabyte,G5 KF-E3US333SH,15.60,Black,512.00,Core i5,8.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.00,879.99
ASUS,Vivobook 15X,15.60,Indie Black,1000.00,Ryzen 7,16.00,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5.00,749.99
acer,Chromebook Spin,11.60,Silver,64.00,Celeron N4000,4.00,Chrome OS,,Integrated,intel,,4.50,226.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
